8, -4, 0, 0, 0
192, -4, 2, -1, 0
64, -4, 3, -2, -1
48, -4, 1, 2, 0
384, -4, 2, 1, 0
576, -4, 3, 1, -1
96, -4, 1, 4, 0
480, -4, 2, 2, 0
384, -4, 3, 1, 1
384, -4, 5, -5, 6
216, -4, 2, 4, 1
384, -4, 4, -1, -2
384, -4, 4, 0, -4
960, -4, 2, 3, 0
192, -4, 3, 3, -4
384, -4, 4, 1, -4
7248, -4, 7, -8, 4
480, -4, 1, 6, 0
480, -4, 2, 6, -4
48, -4, 0, 8, 0
9504, -4, 4, 1, -2
96, -4, 1, 8, -4
96, -4, 1, 12, -12
8, -4, 0, 16, -16
192, -3, 3, -5, -1
384, -3, 1, -2, 1
960, -3, 1, -3, 0
64, -1, 3, 2, 4
192, -3, 0, -1, -1
192, -2, -2, -1, -1
192, -3, -1, 3, 1
96, -3, -2, 2, 0
384, -3, 0, -1, 1
192, -3, -1, 3, -1
192, -3, 0, 4, -4
384, -3, 1, 1, 4
96, -2, 6, -6, 5
64, -1, 6, -3, 9
16, 0, 6, 0, 9
192, -1, 5, -3, 4
96, 0, 5, 0, 4
192, -1, 5, -3, 0
48, 0, 6, 0, 1
384, -1, 5, -1, 0
384, -2, 6, -5, 6
192, -1, 4, -4, 4
384, -1, 5, -3, 6
192, -2, 5, -3, 6
96, -3, 4, -9, 7
384, -3, 3, -5, -2
480, -3, 2, -6, 0
768, -2, 5, -5, 3
384, -3, 3, -7, 4
384, -1, 5, -5, 0
192, -1, 4, -6, 0
96, 0, 4, 4, 1
192, 0, 4, 3, 0
384, -1, 5, 0, -1
192, 0, 5, 2, 0
384, -2, 5, -2, -1
1152, -2, 4, -1, -1
768, -1, 4, -2, -2
576, -1, 4, 0, -1
192, -1, 5, -2, 1
192, 0, 5, 0, 2
192, -1, 5, -2, 7
192, 0, 5, 0, 6
384, -1, 4, -2, 6
576, -1, 3, 2, 1
384, 0, 4, 2, 1
384, -2, 5, -3, 4
192, 0, 5, -2, 0
384, -1, 4, -6, 2
1152, -1, 4, -4, 2
384, 0, 4, -2, 1
576, -1, 4, 1, -1
192, -3, -2, 0, 0
96, -2, -4, -2, 0
32, -3, -3, 0, 0
1152, -3, 2, -2, -2
960, -3, 1, 3, 1
384, -3, 0, 0, -1
768, -3, 2, 0, 4
960, -3, 0, 2, 4
1344, -3, 1, 0, 3
384, -3, 6, -6, 6
768, -3, 5, -2, -3
1152, -3, 0, 4, 1
960, -3, 0, 1, -1
192, -3, -2, 1, 0
960, -3, 0, 4, 2
64, -3, 0, 1, -3
96, -3, -2, 3, 1
576, -3, 2, -3, -1
1536, -3, 3, -3, 4
192, -2, 1, -6, -4
384, -2, 0, -5, -2
384, -3, 1, -3, 2
1728, -3, 2, -1, -2
768, -3, 1, -1, -1
192, -2, 0, -2, -4
192, -3, 0, 7, -7
768, -3, 1, 3, 2
1152, -4, 6, -7, 4
384, -3, 2, 2, 4
1440, -3, 1, -2, 0
192, -3, 0, 3, 6
192, -3, 2, -3, -4
384, -3, 1, -2, -2
1344, -3, 0, 1, 1
576, -3, 0, -1, 0
384, -3, 1, -4, 0
576, -3, 0, -2, 0
768, -3, -1, 0, 0
384, -2, 0, -3, -4
192, -1, -2, -4, -3
2016, -3, 7, -7, 2
960, -2, 3, 2, 2
576, -3, 1, -1, -2
2304, -3, 1, 0, -1
384, -3, 3, -6, 5
864, -3, 2, -2, -4
1920, -3, 1, 0, -2
1536, -3, 7, -8, 4
384, -2, 3, 1, 4
480, -2, 0, -4, -4
1152, -3, 3, -6, 2
384, -3, -1, 3, 2
1536, -3, 0, 2, 1
1920, -3, 0, 2, 2
576, -4, 9, -13, 8
3648, -3, 4, 0, -1
768, -3, 0, 1, 2
1536, -3, 0, 2, -1
384, -3, 1, 2, -4
1152, -3, 3, -5, 2
1152, -3, -1, 4, 2
384, -3, 1, 1, -4
192, -3, 2, -3, 4
480, -3, -2, 6, 4
384, -3, 2, 1, -5
768, -3, 1, 2, -3
384, -3, -1, 4, 1
4688, -3, 0, 0, 0
384, -2, -3, 1, 2
192, -3, -2, 4, 0
3648, -3, 1, 1, -2
