12, -2, -2, 0
12, -2, 2, -4
48, 1, 1, 2
24, -2, 3, -3
150, -1, 0, 2
12, 3, 4, 0
4, 3, 0, 0
72, 1, -3, -2
162, -2, 2, 0
24, -1, 0, 3
24, 1, -2, -4
12, -1, 0, -4
126, 3, 2, 0
168, -1, 0, 1
198, -2, 0, 0
24, 2, 0, 1
120, 1, -2, -1
48, 1, -1, -4
48, -1, -3, 0
48, 1, -2, 1
56, -3, 3, -2
12, 3, 4, 4
24, 0, -4, -2
144, 1, -1, -2
24, 1, 0, -4
84, -1, 2, 0
24, 2, 2, -1
24, -1, 1, -3
72, -1, -3, 2
276, 0, -2, 1
48, -1, 1, 2
48, -1, 0, -2
252, -1, -2, 2
24, -2, 2, 1
48, 1, -3, 0
96, 0, -2, -2
96, 2, 1, -1
96, 0, 1, 1
102, -3, 4, -2
24, -2, -1, 3
48, 1, 2, 2
24, 2, -1, -3
12, -3, 1, 1
48, -2, -1, 1
348, 1, -1, 0
24, 3, 2, -1
168, 0, -1, -1
252, 1, -2, -2
48, 1, 2, 1
228, -2, 2, -1
48, -1, -1, -2
48, -2, 1, 2
24, 0, 2, -1
228, 2, 0, -1
24, 0, -4, 2
60, 2, 3, 2
12, 1, 1, -3
48, 2, 1, 2
60, 0, 1, -2
447, 2, 1, 0
360, 0, -2, 0
24, 0, 0, 4
24, 1, -3, -4
308, 0, 0, 1
24, -3, 5, -4
102, 3, 4, 2
52, 0, -3, 2
12, -1, 1, 3
24, -3, 2, -1
12, 1, -4, -4
300, -1, 1, 0
96, 0, -2, 2
60, 0, 1, 2
150, 1, 0, -2
12, 1, 0, 4
48, 2, 3, 0
72, 0, -3, 1
447, -2, 1, 0
12, -3, 4, -4
210, 1, -2, 0
24, 3, 2, 1
168, 1, 0, -1
228, -2, 0, 1
48, 0, -1, 3
24, 1, 0, -3
8, -3, 6, -4
4, 3, 0, -4
52, 0, -3, -2
24, 2, 3, 3
24, 2, 2, -2
24, 1, 2, -1
300, 1, 1, 0
24, 3, 4, 3
24, -1, -3, 1
162, 2, 2, 0
144, -1, -1, 2
24, -1, 3, -1
48, -2, 1, -2
60, 2, -1, -2
72, -2, 0, 2
12, 2, 2, 4
72, 0, -3, -1
12, 1, -3, 1
8, 3, 6, 4
24, -2, 4, -2
972, 0, -1, 0
174, 1, 1, 1
96, 0, 1, -1
48, -2, -1, 0
120, 0, -3, 0
24, -3, 1, 2
222, 0, 1, 0
48, -1, -2, 3
24, 1, 3, 1
60, -2, -1, 2
72, -2, 2, -2
24, 1, 1, 3
24, 2, 4, 2
120, -1, -2, 1
12, 2, -2, 0
12, -1, -4, 0
12, 3, 1, -1
60, 0, 2, 0
549, 1, -1, -1
24, 3, 1, 0
24, 3, 5, 2
4, -3, 0, 0
48, -2, 3, -1
144, 1, 0, 1
549, -1, -1, 1
56, 3, 3, 0
84, 1, 2, 0
210, -1, -2, 0
96, -2, 1, -1
687, -1, 0, 0
687, 1, 0, 0
48, 1, -2, -3
48, 2, -1, -1
168, 0, -1, 1
48, -1, 2, -2
120, 0, -1, -2
12, 1, -4, 0
24, 1, -3, -3
72, 0, 0, -2
72, 0, 0, 2
72, 2, 2, 2
48, 1, 1, -2
24, -1, -3, 3
24, 3, 4, 1
133, 3, 3, 1
120, 0, -1, 2
48, 0, -1, -3
48, -1, 1, -2
96, -1, -1, -1
24, 0, 2, 1
24, -1, -1, 3
24, -3, 4, -3
12, -3, 4, 0
24, 1, -3, -1
96, 2, 1, 1
72, 2, 0, -2
60, -2, 3, -2
12, -2, -2, 4
144, -1, 0, -1
48, -2, 3, 0
48, 1, 0, 2
48, -1, -2, -1
126, -3, 2, 0
96, -1, 1, 1
12, -1, -4, 4
56, -3, 3, 0
24, 1, -1, -3
24, 3, 1, -2
96, 1, -1, 1
48, 1, -1, 2
276, 0, -2, -1
48, 2, 1, -2
24, 3, 5, 4
96, 1, 1, -1
133, -3, 3, -1
24, -2, 2, 2
24, -3, 2, 1
96, -2, 1, 1
24, -1, -3, 4
24, -1, -2, 4
12, 3, 5, 3
24, -1, 2, 1
56, 3, 3, 2
12, 2, -2, -4
12, -1, -3, -1
481, 0, 0, 0
24, -3, 5, -2
24, -2, 0, -1
228, 2, 2, 1
198, 2, 0, 0
348, -1, -1, 0
24, -3, 4, -1
24, -3, 1, 0
8, 0, 3, 0
48, -1, 2, -1
48, -1, -1, 4
308, 0, 0, -1
24, 0, 0, -4
12, -3, 5, -3
48, 2, -1, 0
24, -1, 0, 4
48, 2, 3, 1
174, -1, 1, -1
4, -3, 0, 4
